,제목,가사
3194,그 배는 내일 침몰할거예요,<인디>아주머니는 배를 타고서 저 먼 바다로 나가시네 눈이 불편한 아저씨가 말리는 걸 듣지 않고 내가 간밤에 꾼 무서운 꿈 웃으면서 넘기시네 이번에 잘 되면 한동안 우린 같이 있을 수 있다 하시네 하지만 그 배는 내일 침몰할 거예요 우 하지만 그 배는 내일 침몰할 거예요 우 아주머니는 배를 타고서 저 먼 바다로 나가신데 몸이 불편한 아저씨가 말리는 걸 듣지 않고 내가 간밤에 꾼 꿈 이야기 웃으면서 듣질 않네 이번에 잘 되면 한동안 우린 같이 있을 수 있다 하시네 하지만 그 배는 내일 침몰할 거예요 우 하지만 그 배는 내일 침몰할 거예요 우 하지만 그 배는 내일 침몰할 거예요 우 하지만 그 배는 내일 침몰할 거예요 우
3195,변신로봇대백과,<인디>원 투 쓰리 앤 포 나우 파이브 식스 내가 변신할 때가 왔네 그대 어디에 있는지 몰라도 원 투 쓰리 앤 포 나우 파이브 식스 내가 변해야 할 때가 왔네 그대 어디에 있는진 몰라도 그 해 나는 너를 떠나 보내고 낡은 로봇 대백과를 펴 들었네 그 해 나는 너에게 아름답다 말하고 낡은 로봇 대백과를 펴 들었네 그 속에 꼭 빠졌네 언젠가 너는 내게 말할 거야 이 조종석 콕핏 옆자리에 함께 앉아서 은하를 누비면서 어둠의 무리와 싸우겠다고 내게 말을 했지 그러나 너도 이건 알아야만 해 내가 왜 이렇게 걱정하고 있는지 우리가 어둠과 싸울 때면 어둠도 우리와 싸우는 거야 우리가 어둠을 찾아 헤맬 땐 어둠도 우리를 찾아 헤매는 거야 저길 봐 보이잖아 저들이 너를 찾아 여기까지 왔어 아아아아아 이대론 안 돼 트랜스폼 나우나우나우나우나우나우나우 오늘 밤 나는 너를 집에 보내고 늦은 밤까지 변신 연습을 해 오늘 밤 나는 너를 집에 보내고 늦은 밤까지 변신 연습을 해 아아아 아아아 아 로봇으로 변할 거야 난 이제 로봇으로 변할 거야 원자력 엔진과 강철의 몸을 가진 로봇으로 변할 거야 로봇으로 변할 거야 난 이제 로봇으로 변할 거야 원자력 엔진과 강철의 마음을 가진 로봇으로 변할 거야
3196,종말의 연인,<인디>세상은 너와 내가 알 수 없는 이유로 이유로 폐업을 선언하고 모두 사라져버렸네 남았네 우리는 서로를 바라보다가 얼굴을 붉히고 세상엔 우리 밖에 없다는 걸 알고 옷을 벗기 시작했네 우와 이야야하후 우와 이야야 종말의 연인처럼 우린 또 사랑을 하네 하고 또 하네 아주 오래된 폐허의 공터에서 우린 하나가 되네 마지막 남은 인류의 권리를 모두 모아 잠깐 슬퍼하고서 온 세상 끝에서 저 세상 끝까지 예 핵전쟁이었을까 아니면 전염병이었을까 세상에 남은 사람은 이제 우리 둘 밖에 없네 우 우리는 서로를 바라보면서 걷다가 울고 웃다가 우리는 서로를 바라보면서 걷다가 예 종말의 연인처럼 우린 또 사랑을 하네 하고 또 하네 아주 오래된 폐허의 공터에서 우린 하나가 되네 마지막 남은 인류의 권리를 모두 모아 잠깐 슬퍼하고서 온 세상 끝에서 저 세상 끝까지 예 아주 오래된 약속 아주 오래된 맹세 너와 내가 태어나기도 훨씬 전에 있었던 그 약속을 기억해볼까 아주 오래된 약속 아주 오래된 맹세 너와 내가 태어나기도 훨씬 전에 있었던 그 이야길 반복해볼까 예에
3197,스카이워커,<인디>너는 아직도 그 짐을 다 못 챙기고 앉아 있네 망연자실 우린 정말로 이 곳을 떠나야 하냐고 묻네 어제부터 계속해서 하는 수 없잖아 당신과 내가 여기에 온 게 잘못인 걸 원래부터 나는 답답해서 너를 잡고 했던 얘기를 또 하네 말했잖아 내가 우린 하늘로 올라가야만 해 우린 이제 더는 여기 있을 수 없으니까 말했잖아 하늘로 올라가야만 해 우린 더는 여기 있을 수 없으니까 음 말했잖아 너는 아직도 미련을 다 못버리고 서성이네 흔들리며 우린 정말로 이 곳을 떠나야 하냐고 묻네 어제부터 계속해서 하는 수 없잖아 그래도 저기에서는 뭔가 나아도 낫겠지 여기보단 나도 괴로워서 너를 잡고 탓하고 싶은 걸 참고 또 참네 원망하며 미워하며 우린 하늘로 올라가야만 해 우린 이제 더는 여기 있을 수 없으니까 말했잖아 하늘로 올라가야만 해 우린 더는 여기 있을 수 없으니까 음 말했잖아 오늘 밤에는 너를 데리고 가네 어딘지도 모르는 곳으로 아무도모르게
3198,일렉트릭 빔,<인디>너와 나의 일렉트릭 빔 개발 완료 너와 나의 금속 미사일 장전 완료 너와 나의 전자기 방어막도 준비 완료 이제 우리 서울 폭격도 준비 완료 더블 케이 이래선 안 돼요 지금 우리들은 많은 사람들을 희생시키고 있는 거라고요 무슨 말을 하는거야 미네르바 지금 우리들이 여기까지 오기 위해서 얼마나 많은 대원들을 희생시켰는지 잊었나 더블 케이 하지만 지금 우리들이 하고 있는 일은 대량학살이라구요 미네르바 조금만 기다리면 다시 때가 올거야 참아 너와 나의 일렉트릭 빔 다시 개발 완료 너와 나의 금속 미사일 이미 장전 완료 너와 나의 전자기 방어막도 이미 켜져 있고 당신과 나의 서울 폭격도 이제 준비 완료 아 살아남은 사람들은 잊지 못할 거야 언젠가 이런 일이 다시 생길 수 있다는 걸 아 미네르바 미네르바 나의 사랑하는 사람 내 생명은 이제 몇 시간도 남지 않았는데 아 살아남은 사람들은 잊지 못할 거야 언젠가 이런 일이 다시 생길 수 있다는 걸 아 나를 원망하지 말아줘요 나의 사랑하는 사람 내 생명은 이제 몇 시간도 남지 않았는데 슝 팍 슝 팍 더블케이 그만해요 슝 팍 어쩔수 없는 일이야 미네르바 슝 팍 슝 팍
3199,그 자식 사랑했네,<인디>그자식 처음 만난 건 소개팅이었지만 사실은 전부터 알고 있었지 그자식 너바나를 좋아한다 생색을 내며 사실은 뽕짝에 쿵짝쿵짝 그자식 내 앞에선 말이 없는 듯도 했지만 친구들 앞에선 언제나 깔깔깔깔 날 만날 때는 날 좋아하는 듯도 했지만 마음 속으로는 경멸하고 있었던 듯 그자식 때문에 많이 상처를 받았네 그자식 때문에 많이 상처를 주었네 요약하자면 그 자식 사랑했네 반복
3200,우리 집은 화목한데,<인디>우리 집은 아주 화목한데 삼촌이 옥상 위에 올라가 있는 걸 보았네 우리 집은 아주 화목한데 삼촌만 앞에 없는 걸 보았네 아 그건 아이에겐 해주기 너무 어려운 이야기 아 삼촌은 젊을 때부터 잘못한 일이 너무나 많았어 우리 집은 아주 화목한데 삼촌이 식사자리에 없는 걸 보았네 우리 집은 아주 화목한데 삼촌이 창문 밖으로 날아가는 걸 보았네 아 그건 아이에겐 해주기 너무 어려운 이야기 아 삼촌은 젊을 때부터 잘못한 일이 너무나 많았어
3201,새벽의 분리수거,<인디>오늘 밤 너와 나 큰일을 해보자 지금껏 나 몰라라 방치해 두었던 냄새 나는 것과 딱딱한 것들을 오늘 밤에야 말로 치워보자 오늘 밤 너와 나 큰일을 해보자 지금껏 우리 사이에 묵혀 놨던 것들 썩어가는 것과 진물이 나오는 것 오늘 밤에는 다 분리수거 해보자 아 나는 몰랐네요 내가 안 타는 물건인 줄은 내가 불연소화합물인 줄은 네가 말해주기 전에는 아 나는 몰랐네요 내가 안 타는 물건인 줄은 내가 불연소화합물인 줄은 네가 말해주기 전에는 몰랐네 몰랐네요 네가 날 내다버릴 줄은 몰랐네요 네가 날 내다버릴 줄은 내다 버릴 줄은 몰라 오늘 밤 너와 나 큰일을 해보자 지금껏 나 몰라라 방치해 두었던 우리 사이에 해묵은 오해들을 오늘 밤에는 꼭 치워보자 오늘 밤 너와 나 큰일을 해보자 지금껏 조용히 묵혀 놨던 것들 썩어가는 것과 진물이 나오는 것 오늘 밤에는 꼭 분리수거 해보자 아 나는 몰랐네요 내가 안 타는 물건인 줄은 내가 불연소화합물인 줄은 네가 말해주기 전에는 아 나는 몰랐네요 내가 안 타는 물건인 줄은 내가 불연소화합물인 줄은 네가 말해주기 전에는 몰랐네 제발 날 버리지 말아줘요 제발 날 버리지 말아줘요 제발 날 버리지 말아줘요 제발 날 버리지 말아줘요 플라스틱 캔 종이 비닐 유리 그리고 너와 나의 감정 플라스틱 캔 종이 비닐 유리 그리고 너와 나의 비밀 플라스틱 캔 종이 비닐 유리 그리고 너와 나의 감정 플라스틱 캔 종이 비닐 유리 그리고 너와 나의 비밀
3202,헤어진 사람 방에 중요한 걸 깜박 놔두고 왔네,<인디>아 헤어진 사람 방에 중요한 걸 깜빡 놓고 왔네 그냥 놓고 갈까 아니면 다시 돌아갈까 아 헤어진 사람 방에 중요한 걸 깜빡 놓고 왔네 그냥 놓고 갈까 아니면 다시 돌아갈까 문을 두드리면 문을 열어줄까 나를 안에 들여보내줄까 웃을까 화를 낼까 어이없이 할까 문을 두드리면 문을 열어줄까 나를 안에 들여보내줄까 웃을까 화를 낼까 어이없이 할까 아 헤어진 사람 방에 중요한 걸 깜빡 놓고 왔네 그냥 놓고 갈까 아니면 다시 돌아갈까 아 헤어진 사람 방에 중요한 걸 깜빡 놓고 왔네 그냥 놓고 갈까 아니면 다시 돌아갈까 문을 두드리면 문을 열어줄까 나를 안에 들여보내줄까 웃을까 화를 낼까 어이없이 할까 문을 두드리면 문을 열어줄까 나를 안에 들여보내줄까 웃을까 화를 낼까 어이없이 할까 아 헤어진 사람 방에 아 헤어진 사람 방에 중요한 걸 깜빡 놔두고 왔네 
3203,퓨처럽 (Future Luv),<인디>서기 3022년 남녀 간의 모든 행위는 금지되었다 퓨처럽 너는 어느 날 갑자기 내 방에 들어와 금지된 관계를 같이 하자고 하네 누가 쳐다 보는 것 같아 들키면 어떻게 되는 거냐고 물으니 너는 한참 동안 아무 말도 없다가 울기 시작하네 오늘 밤엔퓨처럽 오늘 밤 이대로 좋아 너는 어느 날 벼락과 함께 나타나 조급한 몸짓으로 그 골목 길에서 미래를 이야기하려고 하네 지금까지 금지된 모든 쾌락을 내게 알려주고 당신을 쫓는 기계인간을 피해서 멀리 달아나네 오늘 밤엔퓨처럽 오늘 밤 이대로 좋아 오늘 밤에는 새로운 쾌락을 퓨처럽 오늘 밤 이대로 좋아 우리는 너와 나의 미래 말하지 않네
3204,뭐뭐뭐뭐,<인디>너는 어제 조용히 나를 불러 내 얘기 좀 들어달라고 했지 지난 밤에 나한테 큰 일이 닥쳤는데 이제 어떻게 해야 할지 모르겠다고 이제까지 누구도 해치지 않고 어떻게든 살아왔는데 그런 나한테 어떻게 이런 일이 생겼는지 이젠 정말 모르겠다고 이제 뭐뭐뭐뭐 뭐뭐뭐뭐 뭐뭐뭐뭐 뭐 뭐를 해야 할지 모르겠네요 이제 어어어어 어어어어 어어어어 어어 어떻게 해야 하는지 모르겠네요 너는 어제 조용히 나를 불러 내 얘기 좀 들어달라고 했지 지난 밤에 나한테 큰 일이 닥쳤는데 이제 나는 있을 곳이 없다고 이제까지 남한테 큰 피해를 끼치지 않고 어떻게든 살아왔는데 그런 나한테 이런일이 생기고 나니 이젠 아무도 믿을 사람 없다고 이제 뭐뭐뭐뭐 뭐뭐뭐뭐 뭐뭐뭐뭐 뭐 뭐를 해야 할지 모르겠네요 이제 어어어어 어어어어 어어어어 어어 어떻게 해야 하는지 모르겠네요 이제 누누누누 누누누누 누누누누 누누구를 믿어야 하는지
3205,엄마 몰래 Space,<인디>넌 엄마 몰래 나의 우주로 들어와야 해 처음에 만났을 땐 집에 돌아가는 길이었지 너는 넘어져버렸네 그래서 나도 넘어지는 척 했네 사실은 나도 정말 넘어진거였네 너는 날 보지 않았고 그래서 내가 여기까지 왔네 여기 우주까지
3207,캐모플라주,<인디>그토록 오랜 시간 동안 많은 일을 겪고 난 후 너는 너에게 꼭 맞는 보호색을 띄고 있네 그토록 오랜 시간 동안 많은 일을 겪고 난 후 너는 너에게 꼭 맞는 보호색을 띄고 있네 아무도 모르게 파랗게 빨갛게 노랗게 아무 것도 아닌 색으로 변하고 싶어요 파랗게 빨갛게 어둡게도 아무 것도 아닌 색으로 변하고 싶어요 그토록 오랜 시간 동안 많은 일을 겪고 난 후 너는 너에게 꼭 맞는 보호색을 띄고 있네 그토록 오랜 시간 동안 많은 일을 겪고 난 후 너는 이제서야 남들과 같은 색을 띄고 있네 아무도 모르게 파랗게 빨갛게 노랗게 아무 것도 아닌 색으로 변하고 싶어요 파랗게 빨갛게 어둡게도 아무 것도 아닌 색으로 변하고 싶어요 너와 나는 너와 나는 너와 나는 너와 나는 너와 나는 눈에 띄지 않는 곳에서 살아요 너와 나는 너와 나는 너와 나는 너와 나는 너와 나는 눈에 띄지 않는 곳에 서있어요 너와 나는 너와 나는 자꾸 변해가요 우후후
3208,횟집에서,<인디>달이 높이 떴는데 너는 아직 가질 않았다 횟집에서 사람들 떠드는 소리가 무심해질 만큼 말할 것이 있는데 손가락을 꼬물거리다 다시 술마시러 들어갈까요 저는 먼저 집에 들어가봐야 될 것 같아요 피곤해서 그래요 가서 쉬어요 달이 높이 떴는데 너는 아직 가질 않았다 피곤에 찌든 주방장이 거칠게 광어를 낚아올려 회를 뜬다 매운탕이 나올 때 굼뜬 눈을 부릅뜬 광어 너는 다른 사람 어깨에 기대어 잠이 들고 달이 높이 떴는데 너는 아직 가질 않았다 내가 가면 이번에는 그 속내를 다른 사람에게 털어 놓겠지
3209,안 돼,<인디>안 돼 우린 약속 했잖아 이젠 다시 사랑하겠다고 내 맘 몰래 떠나가버린 걸까 이젠 아무 상관없는 걸까 아름다운 너의 향기가 다시 한번 마음을 사로잡는데 돌아보면 너무 아쉽더라도 이젠 아무 상관없겠지만 안 돼 안 돼 우린 약속했잖아 두번 다시 사랑하지 않겠다고 내 맘 몰래 떠나가버린 걸까 이젠 아무 상관없는 걸까 내 맘을 모르는 걸까
3210,납골묘,<인디>내년엔 납골묘를 만들어 여기저기 흩어진 묘들을 이장할 생각이다 그래야 너희들도 편하겠고 나도 죽기 전에 그것만은 하려고 한다 아버지 납골묘 아래에 내가 먼저 들어갈 건데요 형도 제사지낼 생각 없대요 그게 뭐 싫어서 그런 건 아니라 단지 우리들은 관심이 없는 거죠 이런 말 일부러 하는 건 아니예요 미안해요 아버지 납골묘 아래에 모두 누워 있을 건데요
3211,성형수술을 할래,<인디>말하지 않아 기다렸다고 멀리서 너를 바라본다고 성형수술을 할래 알아보지 못하게 성형수술을 할래 예 성형수술을 할래 마주쳐도 모르게 성형수술을 할래 예 말하지 않아 기다렸다고 멀리서 너를 원망한다고 성형수술을 할래 알아보지 못하게 성형수술을 할래 예 성형수술을 할래 마주쳐도 모르게 성형수술을 할래 예 성형수술을 할래 알아보지 못하게 성형수술을 할래 마주쳐도 모르게 성형수술을 할래 알아보지 못하게 성형수술을 할래 마주쳐도 모르게
3212,지옥에 가다,<인디>어제 나는 죽어 버렸죠 염라대왕 앞에 끌려갔죠 무서운 염라대왕이 한참 나를 바라보다가 꽉 끌어안고서 너는 너무 아름다우니 다시 한번 살아나거라 어제 나는 죽어 버렸죠 교통사고였죠 별로 아프진 않았죠 무서운 염라대왕이 한참 나를 바라보다가 꽉 끌어안고서 너는 너무 아름다우니 다시 한번 살아나거라 뒤돌아보지 않고 지옥에서 빠져 나왔죠
3213,그대는 냉장고,<인디>그대는 냉장고 차거차거차거차거 멀리서 나를 바라만 봐주세요 바라보기만 하고 만지지는 말아주세요 만지기만 하고 사랑하진 말아주세요 사랑하기만 하고 바라보진 말아주세요 그대 가슴은 차가운 냉장고 그대 눈동자엔 눈물 한방울 고이지 않는 냉동인간 그대는 에어컨 추워추워추워추워 멀리서 너를 바라봐주기만 하겠어 바라보기만 하고 만지기도 해주겠어 만지기도 하고 사랑하기도 해주겠어 사랑하기도 하고 바라봐주기도 하겠어 그대 주위에는 차가운 바람이 불어 그대 심장에는 피한방울 흐르지 않는 냉혈인간 그대는 냉장고 그대는 에어컨 그대는 이쑤시개 그대는 짜장면 그대는 유리창 널 사랑해
3214,말이 통해야 같이 살지,<인디>말이 통해야 같이 살지 눈뜨고코베인 말이 통해야 같이 살지 너 때문에 맨날 노래를 하는 나는 언제쯤 말이 통해야 같이 살지
3215,하이웨이 몽키스타,<인디>고속도로 한복판에는 원숭이가 살고 있네 3년 전에 지나가다 보았는데 아직도 살아 있네 고속도로 한복판에는 원숭이가 살고 있네 먹이를 주는 사람 아무도 없는데 살아 있네
3216,아침이 오면,<인디>아침이 되면 나가겠습니다 밤이 되면 다시 생각날지언정 지금은 조금만 더 누워 있을게요 아침이 되면 앞으로 나아갈게요 아침이 되면 나가겠습니다 다음 날이면 다시 생각날지언정 지금은 조금만 이대로 있을게요 아침이 되면 깨끗이 나아갈게요
3217,마더쉽,<인디> 301 엄마 나는 너 무무서워요 낯선 에너지 생명체가 나타났어요 저들의 기술력은 우릴 능가해요 알 수 없는 힘이 나를 자꾸 끌어당겨요 아 지구는 너무 푸르고 이제 저들의 암흑중력발생장치가 나를 사로잡았네 이젠 어떻게 하면 좋을지 아 컴퓨터 워프하라 워프 워프하라 오마더쉽 오마더쉽 오마더쉽 마마마마 오마더쉽 오마더쉽 오마더쉽 도와줘요 늦기전에빨리와요 엄마 나는 너무 무서워요 낯선 에너지 생명체가 나타났어요 저들의 신호를 이해할 수가 없네요 저들의 무기도 이해할 수가 없고요 저들의 눈빛과 생명 반응과 아무 말도 하지 않는 입과 크지 않은 눈들과 저 차가운 촉수의 아무렇지 않은 회전이 으아 그만으으 오마더쉽 오마더쉽 오마더쉽 마마마마 오마더쉽 오마더쉽 오마더쉽 도와줘요 늦기 전에 빨리와요
3218,누나야,<인디>낯익은 골목길을 거꾸로 달려가보자 하늘에는 거꾸로 매달린 아빠머리 집으로 돌아가면 반드시 혼날테지만 누나만은 내 편인 걸 모두 죽어버렸으면 좋겠어 누나야 모두 쫓아내고 우리 둘이서만 살면 안 될까 누나는 예쁜 눈을 가지고 있었지 나는 그런 누나를 너무 좋아했었지 아빠는 누나를 혼내고만 있었지 엄마는 누나를 혼내고만 있었지
3219,어색한 관계,<인디>나의 어색한 마음 너의 자연스러운 마음 하지만 내가 어색하니까 우리는 어색한 관계 어색한 관계 어색한 관계 어색한 관계 어색한 관계 나의 어색한 마음 너의 자연스러운 마음 하지만 내가 어색하니까 우리는 어색한 관계 어색한 관계 어색한 관계 어색한 관계 어색한 관계 어 색 한 관계 어 색 한 관계 
3220,하늘은 UFO,<인디>말했잖아 하늘은 커다란 유에프오 아무리 소리쳐봐도 들리지 않아 말했잖아 하늘은 커다란 유에프오 그게 떨어지면 하늘이 떨어지네 말했잖아 하늘은 커다란 유에프오 아무리 기다려봐도 내려오질 않아 말했잖아 하늘은 커다란 유에프오 그게 날아가면 하늘이 날아가네 외계인이 내려와서 당신의 말씀을 전하네
3222,포스트맨은 벨을 두세 번 울린다,<인디>우리 집에 넌 왜 왔니 오늘 밤에 무엇 하러 빚 받으러 나타났니 사랑 받으러 나타났니 우리 집에 넌 왜 왔니 오늘 밤에 무엇 가지러 꽃 찾으러 나타났니 이젠 나는 줄 것도 없는데 우 나는 오늘밤 가진 게 없어 우 나는 이제는 가진 게 없어 너밖에는 딩동 딩동 우리 집에 왜 왔니 넌 왜 왔니 우리 집에 왜 왔니 넌 왜왜왜 우리 집에 넌 왜 왔니 우리 집에 넌 왜 왔니 오늘 밤에 무엇 하러 빚 받으러 나타났니 아니면 너무 외로워서 나를 찾아왔니 우리 집에 넌 왜 왔니 오늘 밤에 무엇 가지러 나랑 헤어지고 보니 내가 괜찮은 사람인 걸 알았니 우 나는 오늘밤 가진 게 없어 우 나는 이제는 가진 게 없어 너밖에는 빠바바밤빠바바밤
3223,바훔톨로메,<인디>바훔톨로메 눈뜨고 코베인 나는 바훔톨로메 아무도 보지 않는 섹시 금붕어 나는 바훔톨로메 나는 바훔톨로메 아무에게도 보이지 않는 섹시 금붕어 적막한 어둠 속에서 오직 나만이 차가운 어둠 속에서 오직 나만이 너와 비교해봐도 오직 나만이 아름다운 것 중에서도 오직 나만이 나는 바훔톨로메 나는 바훔톨로메 나는 바훔톨로메 나는 바훔톨로메 나는 바훔톨로메 나는 바훔톨로메 나는 바훔톨로메 나는 바훔톨로메 나는 바훔톨로메 나는 바훔톨로메
3225,네 종종 전화할게요,<인디>나는 어느 구석에서 엄마에게 전화를 걸어도 나는 호흡할 수 없어 아버진 괜찮으세요 많이 좋아지셨단다 참 다행이군요 형은 뭐 하고 있어요 아직도 취직시험 본단다 뭐 잘되겠지요 뭐 엄마는 어떻게 지내세요 나야 뭐 그냥 그렇지 뭐 넌 어떻게 지내니 월급은 잘 나오니 저는 뭐 그냥 그렇지요 뭐 그냥 그렇게 지내요 다음 달 부터는 돈도 좀 부칠게요
3226,난 속이 좁은가 봐,<인디>예쁜 나무 가지에는 가시 덤불이 덮혀 있네 구름구름 아기 구름 아둥바둥 흘러가네 길을 가던 나그네들 나만 두고 달려가네 어쩔 줄 몰라서 하하하 웃어보네 아마도 난 속이 좁은가봐 그래서 눈물이 많은가봐
3227,선데이 행성에서 온 먼데이걸,<인디>선데이 행성에서 온 먼데이걸 예 월요일에는 다시 태어나야 해 매일매일 또 지쳐 쓰러져도 음 선데이 행성에서 온 먼데이걸 다시 태어나 출근해야 해 선데이 행성에서 온 먼데이걸 예 선데이 행성에서 온 먼데이걸 오늘밤에는 난 어디로든지 가요 아침에 나가서 돌아오지 않는 곳으로 오늘밤에는 난 어디로든 어디든 가요 월요일로 가는 길을 벗어나서 어딘가로 출근해야 해 다시 태어나 어떻게든 일어나야 해 선데이 행성에서 온 먼데이걸 예
3228,하나 둘 셋 넷,<인디>내가 처음 너를 봤을 때 너는 참 알 수 없는 표정과 또 무관심한 태도로 나를 당황케 했었지 내가 다시 너를 봤을 때 너는 예측할 수 없는 행동과 또 비밀스런 얘기로 나를 빠져들게 했지 하나 둘 셋 넷 걷다가 뛰다가 또 쉬다가 네 생각에 웃다가 또 울다가 걷다가 뛰다가 또 쉬다가 네 생각에 웃다가 또 울다가 마지막에 너를 봤을 때 너는 참 부담스런 눈빛과 또 피하는 눈초리로 나를 슬프게 했었지 하나 둘 셋 넷 걷다가 뛰다가 또 쉬다가 네 생각에 웃다가 또 울다가 걷다가 뛰다가 또 쉬다가 네 생각에 웃다가 또 울다가 하나 둘 셋 넷 걷다가 뛰다가 또 쉬다가 네 생각에 웃다가 또 울다가 걷다가 뛰다가 또 쉬다가 네 생각에 웃다가 또 울다가 라 랄 라 랄라 라라랄라 라 랄 라 랄라 라라랄라 라 랄 라 랄라 라라랄라 라 랄 라 랄라 라라랄라
3229,나 혼자 먹어야지,<인디>밤바다에 들어가 낚아올려 버린 은빛 송어 한 마리 너무 먹음직스러워 공짜로 준 데도 받지를 않네 우리 엄마 드려도 웃기만 하시네 할 수 없지 나 혼자 먹어야지 할 수 없지 나 혼자 먹어야지 밤바다에 들어가 낚아올려 버린 은빛 송어 한 마리 너무 아름다워 선생님께 드려도 거들떠보지를 않네 우리 아빠 드려도 밥상을 뒤집네 할 수 없지 나 혼자 먹어야지 할 수 없지 나 혼자 먹어야지 같이 먹을래 같이 먹을래 같이 먹지 않을래 같이 먹을래 같이 먹을래 같이 먹지 않을래 같이 먹을래 같이 먹을래 같이 먹지 않을래 같이 먹을래 같이 먹을래 같이 먹지 않을래
3230,외계인이 날 납치할 거야,<인디>외계인이 날 납치할 거야 국가의 중요한 인물이 될 나를 납치할 거야 외계인이 날 납치할 거야 이 지구를 구할 인물이 될 나를 납치할 거야 내가 아무리 가진 것 없다 말을 하고 말을 해도 외계인은 나를 납치할 거야 이부자리 누워 하루종일 잠을 자고 잠을 자도 외계인은 나를 납치할 거야 외계인은 날 알아줄 거야 외계인은 나를 납치할 거야
3231,별이 되었네,<인디>나 오늘밤에 벽에 누워 별을 보며 살다보니 살다보니 오늘도 별이 떠오르네 단 하나 남은 별이라네 엄마는 친정에 가셨네 전화도 받지 않으시네 아버진 소주를 드시네 아무 말씀 없으시네 바람이 나를 부추기네 나는 오늘 하루와는 상관없는 별이 되겠네 별이 되었네
3232,니가 내 방문을 두드리는 소리,<인디>랄랄랄랄랄랄랄라 랄랄랄랄랄랄랄라 랄랄랄랄랄랄랄라 랄랄랄랄랄랄랄라 하늘을 보니 하늘은 너무 높고 나는 너무 낮구나 이 밤도 홀로 지세우니 쓸데없는 나의 심장 고동 소리 너는 아무런 잘못도 없지 모두 내가 잘못한 거야 이렇게 추한 내가 용서를 빌어 절대 용서하지 마 절대 용서하지 마 절대 용서하지 마 절대 용서하지 마 절대 용서하지 마 절대 용서하지 마 니가 내 방문을 두드리는 소리 니가 내 방문을 두드리는 소리 니가 내 방문을 두드리는 소리 니가 내 방문을 두드리는 소리 나가 보면 아무도 없고 나는 하늘에 목 매 달릴거야 나는 하늘에 목 매 달릴거야 니가 나에게 목 매 달렸듯이 니가 나에게 목 매 달렸듯이 나는 하늘에 목 매 달릴거야 나는 하늘에 목 매 달릴거야 니가 나에게 목 매 달렸듯이 니가 나에게 목 매 달렸듯이
3233,얄리는 내가 죽였다,<인디>엄마 이리 와서 요것 보세요 병아리떼 쫑쫑 소풍가는 길에 병아리떼 다 죽었어요 병아리떼들은 내가 죽인 게 아니예요 그 많은 병아리떼들을 내가 어떻게 다 죽여요
3234,내가 그렇게도 무섭나요,<인디>너를 본다 너를 너를 너를 너를 본다 다시 한번 너를 너를 본다 너를 본다 너를 너를 너를 너를 본다 다시 한번 너를 너를 본다 도망치지 말아요 당신을 해치지는 않을 거예요 나는 아직 아무 말도 하지 않았는데 내가 그렇게도 무섭나요 도망치지 말아요 당신을 해치지는 않을 거예요 나는 아직 아무 말도 하지 않았는데 내가 그렇게도 무섭나요
3235,미안해요 잊어줘요,<인디>어젯밤에 키스한 건 미안해요 일부러 그랬던 건 아니지만 그렇다고 생각이 없던 것도 아니에요 어젯밤에 키스한 건 미안해요 정말이에요 허리까지 안을 생각은 없었죠 꿈에서 했던 그대로 하지만 후회하진 않아요 미안해요 잊어줘요 나는 내일이면 여기 없어요 미안해요 잊어줘요 어젯밤에 키스한 건 미안해요 일부러 그랬던 건 아니지만 아무 생각 없던 것도 아니었어요 어젯밤에 키스한 건 미안해요 정말이에요 당신이 사귀는 사람이 보는 앞에서 그래서 더욱 미안했어요 하지만 후회하진 않아요 때때로 당신 내 생각하겠죠 미안해요 잊어줘요 나는 내일이면 여기 없어요 미안해요 잊어줘요
3236,싸이키 댄스,<인디>가자 그날 밤의 싸이키 댄스 너무 뜨거워 내 마음은 흔들흔들 흔들리고 있어요 잊으려고 애를 써봐도 아무리 해도 끝이 없고 그 사람의 뜨거운 눈빛 참을 수가 없어 안 되는 걸 안 되는 걸 이래선 안 되는 걸 싸이키한 조명 속에 내 마음도 싸이키 그 사람과 나의 뜨거운 스텝 속에 내 마음은 흔들렸지 노를 저어 흔들렸지 싸이키 댄스 현란한 조명 그 사람의 뜨거운 눈빛 싸이키 댄스 뜨거운 운명 그 사람의 뜨거운 눈빛
3238,2011년 여름 장마,<인디>묻지 말아야 할 말을 물었고 듣지 말아야 할 말을 들었네 난 오늘 밤에 오랜만에 너를 보고 해선 안 되는 얘기 해도 되는 얘기 해야만 했던 얘기들을 하네 난 오늘 밤에 오랜만에 너를 보고 해선 안 되는 얘기 해도 되는 얘기 참아 왔던 얘기들을 모두 하네 나는 너를 보네 또 오랜만에 보네 나는 너를 보네 마지막으로 보네 묻지 말아야 할 말을 물었고 듣지 말아야 할 말을 들었네 우린 너무 많이 젖었네 어디 가서 쉴 만한 곳이 없네 우린 많이 너무 많이 젖었네요 어디 가서 쉴 만한 곳에 없네요
